,timestamp,open,close,volume,trades,bsk,ewm8,ewm13,ewm21,ewm55,StotchRSI
602,2019-04-11,5307.86,5017.37,54696.6007,369304,0,5034.6699,4875.9596,4671.1729,4265.8828,0.1033
603,2019-04-12,5017.37,5048.01,33276.6786,226036,0,5037.6344,4900.5383,4705.4308,4293.8159,0.1336
604,2019-04-13,5047.0,5045.22,17292.4568,138674,0,5039.3201,4921.2071,4736.3208,4320.6517,0.1274
605,2019-04-14,5047.45,5131.3,18281.6077,131700,0,5059.76,4951.2203,4772.228,4349.6035,0.1272
606,2019-04-15,5131.28,5024.95,29057.1916,204944,0,5052.0245,4961.7532,4795.2027,4373.723,0.0
607,2019-04-16,5024.95,5173.72,24242.2295,168550,0,5079.0679,4992.0341,4829.6134,4402.2943,0.1599
608,2019-04-17,5173.72,5202.82,23307.5361,179490,0,5106.5684,5022.1464,4863.5412,4430.8845,0.1891
609,2019-04-18,5202.41,5258.44,22619.239,167110,0,5140.3176,5055.9026,4899.4411,4460.4401,0.2452
610,2019-04-19,5258.44,5258.68,24611.2363,178148,0,5166.6204,5084.8708,4932.0992,4488.9486,0.2455
611,2019-04-20,5258.68,5291.73,19168.9083,157080,0,5194.4225,5114.4221,4964.7929,4517.6194,0.2813
612,2019-04-21,5292.91,5256.14,25549.5709,210494,0,5208.1375,5134.6675,4991.279,4543.9951,0.1844
613,2019-04-22,5257.41,5357.14,29563.8523,210361,0,5241.2492,5166.4493,5024.5391,4573.036,0.3679
614,2019-04-23,5357.14,5493.31,41262.1039,282563,0,5297.2627,5213.1437,5067.1546,4605.903,0.533
615,2019-04-24,5490.91,5415.0,48224.1524,339599,0,5323.4265,5241.9803,5098.7769,4634.7993,0.5226
616,2019-04-25,5415.0,5219.9,49636.0899,331089,0,5300.4206,5238.826,5109.7881,4655.6957,0.0
617,2019-04-26,5220.47,5314.1,48912.2945,333183,0,5303.4605,5249.5794,5128.3619,4679.2102,0.1906
618,2019-04-27,5315.0,5295.69,15422.8969,145733,0,5301.7337,5256.1666,5143.5736,4701.2273,0.1306
619,2019-04-28,5295.69,5307.52,14371.4339,127730,0,5303.0196,5263.5028,5158.4778,4722.8806,0.1563
620,2019-04-29,5309.81,5238.14,19918.1351,178472,0,5288.6019,5259.8796,5165.7198,4741.2827,0.0
621,2019-04-30,5238.14,5320.81,22238.0682,180989,0,5295.7592,5268.5839,5179.8189,4761.9801,0.1809
622,2019-05-01,5321.94,5383.2,17217.4732,161488,0,5315.1905,5284.9576,5198.3081,4784.1666,0.3091
623,2019-05-02,5383.2,5492.87,22795.7878,181896,0,5354.6748,5314.6594,5225.0865,4809.4774,0.5154
624,2019-05-03,5494.81,5772.69,46297.1728,338298,0,5447.5671,5380.0924,5274.8686,4843.8778,0.9181
625,2019-05-04,5770.62,5829.45,39682.409,283145,0,5532.43,5444.2863,5325.2851,4879.0769,0.9843
626,2019-05-05,5829.83,5775.62,23822.5438,185365,0,5586.4722,5491.6197,5366.2246,4911.0963,0.7992
627,2019-05-06,5773.18,5747.79,25256.5963,230431,0,5622.3206,5528.2154,5400.9124,4940.9782,0.7029
628,2019-05-07,5749.92,5846.34,39905.0644,301388,0,5672.1027,5573.6618,5441.4058,4973.3125,0.8572
629,2019-05-08,5846.34,5987.29,23074.0515,190966,0,5742.1443,5632.7516,5491.0316,5009.526,1.0
630,2019-05-09,5986.66,6209.18,27453.0114,227841,0,5845.93,5715.0985,5556.3179,5052.3708,1.0
631,2019-05-10,6209.95,6373.33,36623.6108,283074,0,5963.13,5809.1315,5630.5917,5099.5479,1.0
632,2019-05-11,6375.16,7076.22,74022.4244,562540,0,6210.4833,5990.1442,5762.0124,5170.1433,1.0
633,2019-05-12,7076.24,6967.31,86948.9753,647345,0,6378.667,6129.7393,5871.585,5234.3279,0.8429
634,2019-05-13,6968.24,7790.71,85804.7353,588497,0,6692.4544,6367.0208,6046.0509,5325.6272,1.0
635,2019-05-14,7795.62,7947.56,76583.7226,655426,0,6971.3667,6592.8121,6218.9153,5419.2677,1.0
636,2019-05-15,7945.26,8169.87,37884.3272,347533,2,7237.7008,6818.1061,6396.2748,5517.5035,1.0
637,2019-05-16,8169.08,7866.59,69630.514,666538,0,7377.4539,6967.8895,6529.9399,5601.3994,0.5117
638,2019-05-17,7868.67,7355.26,88752.0082,803893,0,7372.522,7023.2282,6604.969,5664.0373,0.0
639,2019-05-18,7355.28,7257.45,37054.9448,379504,1,7346.9504,7056.6884,6664.2854,5720.9449,0.0
640,2019-05-19,7257.32,8148.48,65577.4421,583432,0,7525.0681,7212.6587,6799.2122,5807.6426,0.34
641,2019-05-20,8147.94,7938.15,65859.2086,610360,0,7616.8641,7316.3003,6902.752,5883.7321,0.17
642,2019-05-21,7937.16,7904.87,52301.7522,554038,0,7680.8654,7400.3817,6993.8536,5955.9156,0.143
643,2019-05-22,7904.48,7628.43,49136.9946,461337,0,7669.2131,7432.96,7051.5424,6015.6483,0.0
644,2019-05-23,7627.8,7851.51,49648.1847,449220,0,7709.7235,7492.7529,7124.2667,6081.2148,0.0898
645,2019-05-24,7849.95,7964.87,46664.7853,428676,0,7766.4227,7560.1982,7200.6852,6148.4882,0.1342
646,2019-05-25,7964.52,8025.41,28414.3288,264448,0,7823.9755,7626.657,7275.6602,6215.5211,0.1583
647,2019-05-26,8023.0,8614.43,49652.1446,377306,0,7999.632,7767.7674,7397.3665,6301.1964,0.3642
648,2019-05-27,8612.54,8756.32,51886.7688,478773,2,8167.7849,7908.9892,7520.9078,6388.8794,0.4066
649,2019-05-28,8752.52,8715.64,31470.5515,349123,0,8289.5305,8024.225,7629.5198,6471.978,0.3715
650,2019-05-29,8716.87,8645.68,33880.8659,352317,0,8368.6748,8113.0043,7721.898,6549.6102,0.4825
651,2019-05-30,8646.5,8269.54,70379.9985,617341,0,8346.6449,8135.3666,7771.6836,6611.0363,0.0
